iter	Passed	Remaining
822	1536	330
823	1537	328
824	1539	326
825	1540	324
826	1541	322
827	1542	320
828	1544	318
829	1545	316
830	1546	314
831	1547	312
832	1549	310
833	1550	308
834	1551	306
835	1553	304
836	1554	302
837	1555	300
838	1557	298
839	1558	296
840	1559	294
841	1560	292
842	1562	290
843	1563	288
844	1564	287
845	1566	285
846	1567	283
847	1568	281
848	1570	279
849	1571	277
850	1572	275
851	1573	273
852	1574	271
853	1575	269
854	1577	267
855	1578	265
856	1579	263
857	1580	261
858	1582	259
859	1583	257
860	1585	255
861	1586	253
862	1587	251
863	1588	250
864	1589	248
865	1590	246
866	1591	244
867	1593	242
868	1594	240
869	1596	238
870	1597	236
871	1599	234
872	1600	232
873	1601	230
874	1602	228
875	1603	227
876	1604	225
877	1606	223
878	1607	221
879	1608	219
880	1609	217
881	1610	215
882	1612	213
883	1613	211
884	1614	209
885	1615	207
886	1617	206
887	1618	204
888	1619	202
889	1620	200
890	1621	198
891	1623	196
892	1624	194
893	1625	192
894	1626	190
895	1628	189
896	1629	187
897	1630	185
898	1631	183
899	1633	181
900	1634	179
901	1635	177
902	1636	175
903	1638	173
904	1639	172
905	1640	170
906	1642	168
907	1643	166
908	1645	164
909	1646	162
910	1648	161
911	1649	159
912	1651	157
913	1652	155
914	1653	153
915	1654	151
916	1655	149
917	1657	148
918	1659	146
919	1660	144
920	1661	142
921	1662	140
922	1664	138
923	1665	136
924	1666	135
925	1668	133
926	1669	131
927	1670	129
928	1671	127
929	1673	125
930	1674	124
931	1676	122
932	1678	120
933	1679	118
934	1681	116
935	1682	115
936	1683	113
937	1684	111
938	1686	109
939	1688	107
940	1689	105
941	1690	104
942	1692	102
943	1693	100
944	1694	98
945	1695	96
946	1696	94
947	1698	93
948	1699	91
949	1700	89
950	1702	87
951	1703	85
952	1706	84
953	1707	82
954	1709	80
955	1711	78
956	1712	76
957	1713	75
958	1714	73
959	1716	71
960	1718	69
961	1720	67
962	1721	66
963	1722	64
964	1724	62
965	1725	60
966	1727	58
967	1728	57
968	1729	55
969	1730	53
970	1732	51
971	1734	49
972	1735	48
973	1737	46
974	1738	44
975	1739	42
976	1741	40
977	1742	39
978	1743	37
979	1744	35
980	1746	33
981	1747	32
982	1749	30
983	1750	28
984	1752	26
985	1753	24
986	1754	23
987	1756	21
988	1757	19
989	1758	17
990	1759	15
991	1761	14
992	1762	12
993	1764	10
994	1765	8
995	1766	7
996	1768	5
997	1769	3
998	1770	1
999	1772	0
